POT Value 1,POT Value 2,Gesture,Iteration
44970,31047,flex,2
45002,30231,flex,2
44458,30471,flex,2
44602,29591,flex,2
44442,30487,flex,2
44826,30439,flex,2
44330,30007,flex,2
44938,30983,flex,2
45131,30551,flex,2
44890,29671,flex,2
44746,29255,flex,2
44442,30519,flex,2
44122,30551,flex,2
44858,30727,flex,2
44970,30295,flex,2
44618,29959,flex,2
44490,29575,flex,2
44970,30391,flex,2
44762,30007,flex,2
44698,30471,flex,2
44714,30615,flex,2
44618,30119,flex,2
44858,30247,flex,2
44586,30567,flex,2
44378,29783,flex,2
44170,29991,flex,2
44394,30151,flex,2
44842,30791,flex,2
44058,30311,flex,2
44810,30247,flex,2
44970,30215,flex,2
44682,29879,flex,2
44730,30055,flex,2
44394,30407,flex,2
44506,30135,flex,2
44826,30615,flex,2
44682,30535,flex,2
44874,30727,flex,2
44506,30439,flex,2
44650,30359,flex,2
44522,28054,flex,2
44634,30359,flex,2
44634,30935,flex,2
45018,30423,flex,2
44810,30023,flex,2
44490,29991,flex,2
44378,30439,flex,2
44554,29895,flex,2
44858,30855,flex,2
44586,30279,flex,2
44426,29767,flex,2
44058,29431,flex,2
44938,30743,flex,2
44474,29623,flex,2
44682,30503,flex,2
44634,30423,flex,2
44778,29863,flex,2
44810,30183,flex,2
44682,30903,flex,2
44602,29927,flex,2
43994,30055,flex,2
45002,31143,flex,2
44586,30103,flex,2
44890,29879,flex,2
44554,30231,flex,2
44426,30631,flex,2
44282,29911,flex,2
44698,30823,flex,2
44794,30391,flex,2
44506,30151,flex,2
44554,29527,flex,2
44330,30503,flex,2
44490,30103,flex,2
44634,30215,flex,2
44570,30647,flex,2
44474,30263,flex,2
44602,30007,flex,2
44634,30567,flex,2
44618,29783,flex,2
44714,30343,flex,2
44746,30215,flex,2
45034,29031,flex,2
44682,30551,flex,2
44250,30567,flex,2
44474,30215,flex,2
44762,30887,flex,2
45002,30279,flex,2
44762,30055,flex,2
44250,29351,flex,2
44826,30535,flex,2
44378,29767,flex,2
44762,30343,flex,2
44602,30535,flex,2
45034,30167,flex,2
44778,29847,flex,2
44746,30471,flex,2
44730,30519,flex,2
44698,29511,flex,2
45002,30983,flex,2
44666,30167,flex,2
44330,29927,flex,2
44202,29767,flex,2
44682,30295,flex,2
44474,30103,flex,2
44874,30663,flex,2
45131,30967,flex,2
44762,29703,flex,2
44458,28999,flex,2
44666,31047,flex,2
44570,30247,flex,2
44634,28999,flex,2
45131,31031,flex,2
44634,30023,flex,2
44906,29879,flex,2
44938,30183,flex,2
44570,30807,flex,2
44602,30135,flex,2
45002,30647,flex,2
44826,30647,flex,2
44442,28903,flex,2
44250,29719,flex,2
44298,30535,flex,2
44426,29655,flex,2
44394,31335,flex,2
44874,29623,flex,2
45227,30247,flex,2
44634,29575,flex,2
44346,31239,flex,2
44330,30151,flex,2
44426,30615,flex,2
45227,30503,flex,2
44842,30167,flex,2
44874,30487,flex,2
44730,30471,flex,2
44602,30103,flex,2
45163,30599,flex,2
44474,30279,flex,2
44778,29255,flex,2
44266,29895,flex,2
44202,30743,flex,2
44602,30215,flex,2
44986,30791,flex,2
44442,30519,flex,2
44826,30295,flex,2
44778,29639,flex,2
44842,30871,flex,2
44058,30183,flex,2
44362,29975,flex,2
45002,29303,flex,2
44266,30887,flex,2
44314,28582,flex,2
44122,30263,flex,2
44618,30903,flex,2
44042,30199,flex,2
45002,30823,flex,2
45131,30311,flex,2
44362,29991,flex,2
44218,29671,flex,2
44970,29991,flex,2
44138,29927,flex,2
44778,30311,flex,2
44874,30903,flex,2
44458,32167,flex,2
44426,28839,flex,2
44586,28903,flex,2
44938,29063,flex,2
44138,29847,flex,2
44890,31303,flex,2
44954,30727,flex,2
44810,31159,flex,2
44906,29383,flex,3
44746,30151,flex,3
45018,31303,flex,3
44554,28182,flex,3
44010,29655,flex,3
44554,30999,flex,3
44810,29639,flex,3
45018,30183,flex,3
45131,29447,flex,3
44874,31015,flex,3
44634,30231,flex,3
44714,30519,flex,3
44378,30695,flex,3
44682,30135,flex,3
44506,30743,flex,3
44874,30135,flex,3
44458,30135,flex,3
44714,29959,flex,3
44778,30439,flex,3
44298,29751,flex,3
44362,30775,flex,3
44890,30375,flex,3
45067,30567,flex,3
43994,29623,flex,3
45034,30871,flex,3
44650,29175,flex,3
44378,30295,flex,3
