Iteration,Gesture,AVG POT VALUE 1,AVG POT VALUE 2
9,rotate,46482.2,30569.45
9,rotate,46590.2,31352.7
10,rotate,46205.4,29525.15
10,rotate,46245.4,29195.5
10,rotate,46243.0,30386.1
10,rotate,46271.0,31269.5
10,rotate,46243.8,29926.0
10,rotate,46208.6,29731.6
10,rotate,46212.6,29785.1
10,rotate,46277.4,30538.9
10,rotate,46297.4,30420.6
10,rotate,46279.0,29501.95
10,rotate,46227.0,31025.5
10,rotate,46261.4,30551.75
10,rotate,46239.0,29970.1
11,rotate,44116.4,30312.45
11,rotate,44122.0,30334.95
11,rotate,44148.4,30082.95
11,rotate,44061.2,29784.5
11,rotate,44070.8,30470.25
11,rotate,44139.6,30667.75
11,rotate,44014.0,29504.3
11,rotate,44066.0,30774.95
11,rotate,44038.0,29303.35
11,rotate,43997.2,29282.6
11,rotate,44033.2,30479.75
11,rotate,44017.2,30512.45
11,rotate,44053.2,30150.95
1,left,29950.1,30241.4
1,left,29998.8,30346.2
1,left,29789.05,30423.8
1,left,30008.4,30223.8
1,left,30017.35,30263.0
1,left,29881.95,30287.0
1,left,29934.8,30163.0
1,left,29930.85,30254.15
1,left,29942.9,30188.65
1,left,29861.95,30286.2
1,left,29961.3,30274.2
1,left,30049.2,30363.7
1,left,30141.4,30287.8
1,left,29774.0,30429.35
2,left,29963.0,30305.4
2,left,29981.4,30327.0
2,left,29863.8,30396.6
2,left,30087.8,30295.0
2,left,29897.4,30247.8
2,left,29927.8,30250.2
2,left,29947.0,30301.4
2,left,29947.0,30217.4
2,left,30020.6,30275.0
2,left,29894.2,30328.6
2,left,29987.0,30214.95
2,left,30059.0,30186.9
2,left,30008.6,30421.4
3,left,29991.8,30463.0
3,left,29956.6,30378.2
3,left,29903.8,30170.2
3,left,29975.8,30371.8
3,left,29917.4,30251.8
3,left,29983.0,30379.0
3,left,29958.2,30211.0
3,left,30020.6,30289.4
3,left,30066.2,30315.8
3,left,29953.4,30303.8
3,left,29945.4,30065.35
3,left,29951.8,30241.4
3,left,29974.2,30348.45
4,left,44282.8,30147.7
4,left,44250.0,30128.45
4,left,44330.0,30486.1
4,left,44378.8,30658.95
4,left,44244.4,30493.35
4,left,44508.4,30265.15
4,left,44441.2,30178.15
4,left,44460.4,30294.9
4,left,44575.6,30340.55
4,left,44584.45,30430.1
4,left,44685.25,30400.5
4,left,44594.8,30394.2
4,left,44687.6,30106.8
4,left,44738.8,30298.15
5,left,48804.65,30303.8
5,left,48888.0,30288.55
5,left,48952.75,30298.15
5,left,48997.55,30325.3
5,left,48991.25,30146.05
5,left,48969.65,30524.55
5,left,48922.35,30294.1
5,left,49092.3,30334.9
5,left,48939.15,30435.75
5,left,48976.8,30456.55
5,left,48965.65,29597.05
5,left,49032.25,31158.25
5,left,48994.55,30345.35
5,left,48987.25,30421.35
6,left,49105.05,30177.35
6,left,49152.35,30325.4
6,left,49182.8,30228.5
6,left,49143.6,30487.8
6,left,49093.85,29974.05
6,left,49117.05,30141.95
6,left,49027.3,30110.05
6,left,49209.25,30450.95
6,left,49189.2,30398.9
6,left,49043.25,30112.55
6,left,49033.0,30300.6
6,left,49131.55,30130.2
6,left,49040.8,30229.4
7,left,48801.45,30270.2
7,left,48779.85,30119.0
7,left,48808.0,30254.2
7,left,48783.05,30354.2
7,left,48749.5,30263.0
7,left,48721.45,30235.0
7,left,48845.45,30327.0
7,left,48815.85,30253.4
7,left,48819.05,30338.2
7,left,48843.9,30313.4
7,left,48756.6,30160.45
7,left,48834.2,30319.75
7,left,48734.25,30244.55
11,left,48619.8,30283.0
11,left,48557.4,30198.15
11,left,48654.2,30230.2
11,left,48480.6,30245.3
11,left,48560.6,30145.3
11,left,48466.2,30206.2
11,left,48407.0,30190.0
11,left,48560.6,30376.55
11,left,48591.8,29884.45
11,left,48515.0,30277.35
11,left,48599.8,30592.55
11,left,48548.6,30168.45
11,left,48569.4,30676.6
11,left,48476.6,30200.6
8,left,48374.2,30315.8
8,left,48204.6,30172.6
8,left,48315.0,30303.0
8,left,48231.8,30259.8
8,left,48279.8,30265.4
8,left,48243.0,30151.0
8,left,48277.4,30135.75
8,left,48268.6,30362.2
8,left,48175.8,30394.2
8,left,48181.4,30518.1
8,left,48281.4,30635.85
8,left,48184.6,30118.75
8,left,48142.2,30636.5
8,left,48179.0,29824.4
9,left,48042.2,30170.2
9,left,48129.4,30353.4
9,left,48027.8,30246.2
9,left,48098.2,30286.2
9,left,48013.4,30207.8
9,left,47982.2,30222.15
9,left,48089.4,30241.35
9,left,48018.2,30214.15
9,left,48014.2,30062.85
9,left,48063.0,30050.9
9,left,48066.2,29981.95
9,left,47921.4,29991.65
9,left,48040.6,29916.35
10,left,47769.4,30208.6
10,left,47868.6,30297.4
10,left,47907.0,30219.0
10,left,47791.8,30241.4
10,left,47791.8,30331.0
10,left,47863.0,30309.4
10,left,47850.2,30233.4
10,left,47763.0,30288.6
10,left,47871.0,30251.0
10,left,47857.4,30078.1
10,left,47849.4,30222.95
10,left,47784.6,30418.2
10,left,47727.0,30667.75
10,left,47831.0,30498.95
